Stable ID	Sphinx	DocC
ID408	genericparametersandarguments-whereclauses	
ID409	genericparametersandarguments-genericargumentclause	Generic-Argument-Clause
ID410	ReferenceManual/LexicalStructure	
ID411	lexicalstructure-whitespaceandcomments	Whitespace-and-Comments
ID412	lexicalstructure-identifiers	Identifiers
ID413	lexicalstructure-keywords	
ID414	lexicalstructure-literals	Literals
ID415	lexicalstructure-integerliterals	Integer-Literals
ID416	lexicalstructure-floating-pointliterals	Floating-Point-Literals
ID417	lexicalstructure-stringliterals	String-Literals
ID418	lexicalstructure-operators	Operators
ID419	ReferenceManual/Patterns	
ID420	patterns-wildcardpattern	Wildcard-Pattern
ID421	patterns-identifierpattern	Identifier-Pattern
ID422	patterns-value-bindingpattern	Value-Binding-Pattern
ID423	patterns-tuplepattern	Tuple-Pattern
ID424	patterns-enumerationcasepattern	Enumeration-Case-Pattern
ID425	patterns-type-castingpatterns	Type-Casting-Patterns
ID426	patterns-expressionpattern	Expression-Pattern
ID427	ReferenceManual/ReferenceManualPart	
ID428	ReferenceManual/Statements	
ID429	statements-loopstatements	Loop-Statements
ID430	statements-forstatement	
ID431	statements-for-instatement	For-In-Statement
ID432	statements-whilestatement	While-Statement
ID433	statements-do-whilestatement	
ID434	statements-branchstatements	Branch-Statements
ID435	statements-ifstatement	If-Statement
ID436	statements-switchstatement	Switch-Statement
ID437	statements-switchstatementsmustbeexhaustive	Switch-Statements-Must-Be-Exhaustive
ID438	statements-executiondoesnotfallthroughcasesimplicitly	Execution-Does-Not-Fall-Through-Cases-Implicitly
ID439	statements-labeledstatement	Labeled-Statement
ID440	statements-controltransferstatements	Control-Transfer-Statements
ID441	statements-breakstatement	Break-Statement
ID442	statements-continuestatement	Continue-Statement
ID443	statements-fallthroughstatement	Fallthrough-Statement
ID444	statements-returnstatement	Return-Statement
ID445	ReferenceManual/Types	
ID446	types-typeannotation	Type-Annotation
ID447	types-typeidentifier	Type-Identifier
ID448	types-tupletype	Tuple-Type
ID449	types-functiontype	Function-Type
ID450	types-arraytype	Array-Type
ID451	types-dictionarytype	Dictionary-Type
ID452	types-optionaltype	Optional-Type
ID453	types-implicitlyunwrappedoptionaltype	Implicitly-Unwrapped-Optional-Type
ID454	types-protocolcompositiontype	Protocol-Composition-Type
ID455	types-metatypetype	Metatype-Type
ID456	types-typeinheritanceclause	Type-Inheritance-Clause
ID457	types-typeinference	Type-Inference
ID458	ReferenceManual/zzSummaryOfTheGrammar	
ID459	RevisionHistory/RevisionHistory	
ID460	RevisionHistory/RevisionHistoryPart	
ID461	tour-simplevalues	
ID462	tour-controlflow	
ID463	tour-functionsandclosures	
ID464	tour-classes	
ID465	tour-enumsandstructs	
ID466	tour-protocolsandextensions	
ID468	accesscontrol-rawvaluesandassociatedvalues	Raw-Values-and-Associated-Values
ID470	extensions-extensionsyntax	Extension-Syntax
ID471	declarations-parameternames	Parameter-Names
ID472	declarations-specialkindsofparameters	Special-Kinds-of-Parameters
ID473	declarations-specialkindsofmethods	Special-Kinds-of-Methods
ID474	declarations-enumerationcases	
ID475	grammar-summary--Statements	
ID476	grammar-summary--Generic Parameters and Arguments	
ID477	grammar-summary--Declarations	
ID478	grammar-summary--Patterns	
ID479	grammar-summary--Attributes	
ID480	grammar-summary--Expressions	
ID481	grammar-summary--Lexical Structure	
ID482	grammar-summary--Types	
ID483	declarations-typevariableproperties	Type-Variable-Properties
ID484	collectiontypes-sets	Sets
ID485	collectiontypes-settypeshorthandsyntax	
ID486	collectiontypes-creatingandinitializingaset	
ID487	collectiontypes-setwitharrayliterals	
ID488	collectiontypes-accessingandmodifyingaset	Accessing-and-Modifying-a-Set
ID489	collectiontypes-iteratingoveraset	Iterating-Over-a-Set
ID490	collectiontypes-performingsetoperations	Performing-Set-Operations
ID492	collectiontypes-comparingsets	
ID493	collectiontypes-hashvaluesforsettypes	Hash-Values-for-Set-Types
ID494	stringsandcharacters-accessingandmodifyingastring	Accessing-and-Modifying-a-String
ID495	stringsandcharacters-stringindexes	
ID496	stringsandcharacters-insertingandremoving	Inserting-and-Removing
ID499	collectiontypes-constructingsets	
ID500	collectiontypes-creatinganemptyarray	Creating-an-Empty-Array
ID501	collectiontypes-creatinganarraywithadefaultvalue	Creating-an-Array-with-a-Default-Value
ID502	collectiontypes-creatinganarraybyaddingtwoarraystogether	Creating-an-Array-by-Adding-Two-Arrays-Together
ID503	collectiontypes-creatingandinitializinganemptyset	Creating-and-Initializing-an-Empty-Set
ID504	collectiontypes-creatingasetwithanarrayliteral	Creating-a-Set-with-an-Array-Literal
ID505	collectiontypes-fundamentalsetoperations	Fundamental-Set-Operations
ID506	collectiontypes-setmembershipandequality	Set-Membership-and-Equality
